run_id,timestamp,run_name,description,git_hash,model_checkpoint,dataset_name,learning_rate,epochs,batch_size,final_eval_accuracy,final_eval_loss,results_path
2025-10-01_19-39-17_distilbert_baseline_lr2e-5,2025-10-01 19:41:33,distilbert_baseline_lr2e-5,首次从config中读取配置，检查patch是否有bug,ec2990f,distilbert-base-uncased,rotten_tomatoes,2e-5,3,16,0.8461538461538461,0.367026150226593,./results/2025-10-01_19-39-17_distilbert_baseline_lr2e-5
2025-10-01_20-32-38_distilbert_baseline_lr2e-5,2025-10-01 20:34:33,distilbert_baseline_lr2e-5,调参，扩大batch_size到32,222a1a7,distilbert-base-uncased,rotten_tomatoes,2e-5,3,32,0.849906191369606,0.3443467915058136,./results/2025-10-01_20-32-38_distilbert_baseline_lr2e-5
2025-10-01_20-43-35_distilbert_baseline_lr2e-5,2025-10-01 20:45:29,distilbert_baseline_lr2e-5,调参，扩大batch_size到32 改用cosine学习率schedule,222a1a7,distilbert-base-uncased,rotten_tomatoes,2e-5,3,32,0.850844277673546,0.3446389138698578,./results/2025-10-01_20-43-35_distilbert_baseline_lr2e-5
2025-10-01_21-50-16_albert-base-v2_lr2e-5,2025-10-01 22:08:57,albert-base-v2_lr2e-5,调参，扩大batch_size到32 改用cosine学习率schedule，改用albert-base-v2,222a1a7,albert-base-v2,rotten_tomatoes,2e-5,3,32,0.8658536585365854,0.35951727628707886,./results/2025-10-01_21-50-16_albert-base-v2_lr2e-5
2025-10-02_13-11-38_albert-base-v2_lr2e-5,2025-10-02 13:18:07,albert-base-v2_lr2e-5,调参，扩大batch_size到32 改用cosine学习率schedule，改用albert-base-v2，学习率改为5e-6,222a1a7,albert-base-v2,rotten_tomatoes,5e-6,3,32,0.8686679174484052,0.33677148818969727,./results/2025-10-02_13-11-38_albert-base-v2_lr2e-5
2025-10-02_15-19-46_albert-base-v2_lr2e-5,2025-10-02 15:26:25,albert-base-v2_lr2e-5,调参，扩大batch_size到32 改用cosine学习率schedule，改用albert-base-v2，学习率改为5e-6  顺带记录梯度和参数分布,222a1a7,albert-base-v2,rotten_tomatoes,5e-6,3,32,0.8799249530956847,0.31843531131744385,./results/2025-10-02_15-19-46_albert-base-v2_lr2e-5
2025-10-02_15-55-10_albert-base-v2_lr2e-5,2025-10-02 16:03:02,albert-base-v2_lr2e-5,调参，扩大batch_size到32 改用cosine学习率schedule，改用albert-base-v2，学习率改为5e-6  顺带记录梯度和参数分布,222a1a7,albert-base-v2,rotten_tomatoes,5e-6,3,32,0.8667917448405253,0.332917720079422,./results/2025-10-02_15-55-10_albert-base-v2_lr2e-5
